soil_moisture,soil_moisture_p,humidity_p,temperature_c,heat_index_c
290.0,60.0,72.0,14.4,13.78
299.0,57.0,72.0,14.4,13.78
299.0,57.0,72.0,14.4,13.78
301.0,56.0,72.0,14.4,13.78
301.0,56.0,72.0,14.4,13.78
291.0,60.0,72.0,14.4,13.78
290.0,60.0,72.0,14.4,13.78
300.0,56.0,72.0,14.4,13.78
298.0,57.0,72.0,14.4,13.78
301.0,56.0,72.0,14.4,13.78
292.0,59.0,72.0,14.4,13.78
301.0,56.0,72.0,14.4,13.78
299.0,57.0,72.0,14.4,13.78
292.0,59.0,72.0,14.4,13.78
301.0,56.0,72.0,14.4,13.78
300.0,56.0,72.0,14.4,13.78
300.0,56.0,72.0,14.4,13.78
301.0,56.0,72.0,14.4,13.78
302.0,55.0,72.0,14.4,13.78
297.0,57.0,72.0,14.4,13.78
290.0,60.0,72.0,14.4,13.78
301.0,56.0,72.0,14.4,13.78
301.0,56.0,72.0,14.4,13.78
291.0,60.0,72.0,14.4,13.78
300.0,56.0,72.0,14.4,13.78
294.0,58.0,72.0,14.4,13.78
291.0,60.0,72.0,14.4,13.78
300.0,56.0,72.0,14.4,13.78
300.0,56.0,72.0,14.4,13.78
301.0,56.0,72.0,14.4,13.78
301.0,56.0,72.0,14.4,13.78
291.0,60.0,72.0,14.4,13.78
296.0,58.0,72.0,14.4,13.78
300.0,56.0,72.0,14.4,13.78
291.0,60.0,72.0,14.4,13.78
293.0,59.0,72.0,14.4,13.78
291.0,60.0,72.0,14.4,13.78
290.0,60.0,72.0,14.4,13.78
299.0,57.0,72.0,14.4,13.78
297.0,57.0,72.0,14.4,13.78
299.0,57.0,72.0,14.4,13.78
298.0,57.0,72.0,14.4,13.78
291.0,60.0,72.0,14.4,13.78
291.0,60.0,72.0,14.4,13.78
300.0,56.0,72.0,14.4,13.78
301.0,56.0,72.0,14.4,13.78
304.0,55.0,72.0,14.4,13.78
291.0,60.0,72.0,14.4,13.78
300.0,56.0,72.0,14.4,13.78
292.0,59.0,72.0,14.4,13.78
291.0,60.0,72.0,14.3,13.67
292.0,59.0,72.0,14.4,13.78
302.0,55.0,72.0,14.4,13.78
301.0,56.0,72.0,14.4,13.78
300.0,56.0,72.0,14.1,13.45
292.0,59.0,72.0,14.1,13.45
297.0,57.0,72.0,14.1,13.45
292.0,59.0,72.0,14.1,13.45
291.0,60.0,72.0,14.1,13.45
299.0,57.0,72.0,14.1,13.45
302.0,55.0,72.0,14.1,13.45
291.0,60.0,72.0,14.1,13.45
301.0,56.0,72.0,14.1,13.45
301.0,56.0,72.0,14.1,13.45
293.0,59.0,72.0,14.1,13.45
293.0,59.0,72.0,14.1,13.45
301.0,56.0,72.0,14.1,13.45
302.0,55.0,72.0,14.1,13.45
298.0,57.0,72.0,14.1,13.45
301.0,56.0,72.0,14.1,13.45
295.0,58.0,72.0,14.1,13.45
294.0,58.0,72.0,14.1,13.45
294.0,58.0,72.0,14.1,13.45
301.0,56.0,72.0,14.1,13.45
292.0,59.0,72.0,14.1,13.45
290.0,60.0,72.0,14.1,13.45
302.0,55.0,72.0,14.1,13.45
293.0,59.0,72.0,14.1,13.45
295.0,58.0,72.0,14.1,13.45
294.0,58.0,72.0,14.1,13.45
297.0,57.0,72.0,14.1,13.45
291.0,60.0,72.0,14.1,13.45
292.0,59.0,72.0,14.1,13.45
301.0,56.0,72.0,14.1,13.45
292.0,59.0,73.0,14.1,13.47
291.0,60.0,73.0,14.1,13.47
289.0,60.0,73.0,14.1,13.47
295.0,58.0,74.0,14.1,13.5
296.0,58.0,74.0,14.4,13.83
292.0,59.0,74.0,14.4,13.83
290.0,60.0,74.0,14.4,13.83
294.0,58.0,73.0,14.4,13.8
296.0,58.0,73.0,14.4,13.8
290.0,60.0,73.0,14.4,13.8
290.0,60.0,73.0,14.4,13.8
293.0,59.0,73.0,14.2,13.58
300.0,56.0,73.0,14.1,13.47
300.0,56.0,73.0,14.1,13.47
299.0,57.0,73.0,14.1,13.47
293.0,59.0,73.0,14.1,13.47
291.0,60.0,73.0,14.1,13.47
297.0,57.0,73.0,14.1,13.47
290.0,60.0,73.0,14.1,13.47
290.0,60.0,73.0,14.1,13.47
300.0,56.0,73.0,14.1,13.47
291.0,60.0,73.0,14.1,13.47
290.0,60.0,73.0,14.1,13.47
298.0,57.0,73.0,14.1,13.47
294.0,58.0,73.0,14.1,13.47
301.0,56.0,73.0,14.1,13.47
291.0,60.0,73.0,14.1,13.47
297.0,57.0,73.0,14.1,13.47
298.0,57.0,73.0,14.1,13.47
293.0,59.0,73.0,14.1,13.47
296.0,58.0,73.0,14.1,13.47
301.0,56.0,73.0,14.1,13.47
290.0,60.0,73.0,14.1,13.47
292.0,59.0,73.0,14.1,13.47
299.0,57.0,73.0,14.1,13.47
290.0,60.0,73.0,14.1,13.47
299.0,57.0,73.0,14.1,13.47
288.0,61.0,73.0,14.1,13.47
301.0,56.0,73.0,14.1,13.47
290.0,60.0,73.0,14.1,13.47
300.0,56.0,73.0,14.1,13.47
290.0,60.0,73.0,14.1,13.47
291.0,60.0,73.0,14.1,13.47
291.0,60.0,73.0,14.1,13.47
291.0,60.0,73.0,14.1,13.47
301.0,56.0,72.0,14.1,13.45
301.0,56.0,72.0,14.1,13.45
293.0,59.0,72.0,14.1,13.45
291.0,60.0,72.0,14.1,13.45
296.0,58.0,72.0,14.1,13.45
291.0,60.0,72.0,14.1,13.45
299.0,57.0,72.0,14.1,13.45
301.0,56.0,72.0,14.1,13.45
301.0,56.0,72.0,14.1,13.45
301.0,56.0,72.0,14.1,13.45
297.0,57.0,72.0,14.1,13.45
300.0,56.0,72.0,14.1,13.45
298.0,57.0,72.0,14.1,13.45
295.0,58.0,72.0,14.1,13.45
297.0,57.0,72.0,14.1,13.45
301.0,56.0,72.0,14.1,13.45
298.0,57.0,72.0,14.1,13.45
300.0,56.0,72.0,14.1,13.45
292.0,59.0,72.0,14.1,13.45
302.0,55.0,72.0,14.1,13.45
302.0,55.0,72.0,14.1,13.45
302.0,55.0,72.0,14.1,13.45
301.0,56.0,72.0,14.1,13.45
300.0,56.0,72.0,14.1,13.45
292.0,59.0,72.0,14.1,13.45
296.0,58.0,72.0,14.1,13.45
298.0,57.0,72.0,14.1,13.45
301.0,56.0,72.0,14.1,13.45
297.0,57.0,72.0,14.1,13.45
292.0,59.0,72.0,14.1,13.45
298.0,57.0,72.0,14.1,13.45
293.0,59.0,72.0,14.1,13.45
301.0,56.0,72.0,14.1,13.45
292.0,59.0,72.0,14.1,13.45
301.0,56.0,72.0,14.1,13.45
297.0,57.0,72.0,14.1,13.45
299.0,57.0,72.0,14.1,13.45
293.0,59.0,72.0,14.1,13.45
301.0,56.0,72.0,14.1,13.45
301.0,56.0,72.0,14.1,13.45
302.0,55.0,72.0,14.1,13.45
293.0,59.0,72.0,14.1,13.45
302.0,55.0,72.0,14.1,13.45
301.0,56.0,72.0,14.1,13.45
296.0,58.0,72.0,14.1,13.45
291.0,60.0,72.0,14.1,13.45
302.0,55.0,72.0,14.1,13.45
300.0,56.0,72.0,14.1,13.45
296.0,58.0,72.0,14.1,13.45
