soil_moisture,soil_moisture_p,humidity_p,temperature_c,heat_index_c
273.0,67.0,61.0,17.4,16.79
307.0,53.0,61.0,17.4,16.79
308.0,53.0,61.0,17.4,16.79
315.0,50.0,61.0,17.4,16.79
314.0,51.0,61.0,17.4,16.79
278.0,65.0,61.0,17.4,16.79
277.0,65.0,61.0,17.4,16.79
286.0,62.0,61.0,17.4,16.79
292.0,59.0,61.0,17.4,16.79
316.0,50.0,61.0,17.4,16.79
317.0,50.0,61.0,17.4,16.79
285.0,62.0,61.0,17.4,16.79
283.0,63.0,61.0,17.4,16.79
274.0,66.0,61.0,17.4,16.79
275.0,66.0,61.0,17.4,16.79
311.0,52.0,61.0,17.4,16.79
301.0,56.0,61.0,17.4,16.79
317.0,50.0,61.0,17.4,16.79
313.0,51.0,61.0,17.4,16.79
309.0,53.0,60.0,17.4,16.76
306.0,54.0,60.0,17.4,16.76
277.0,65.0,60.0,17.4,16.76
276.0,66.0,60.0,17.4,16.76
294.0,58.0,60.0,17.4,16.76
298.0,57.0,60.0,17.4,16.76
317.0,50.0,60.0,17.4,16.76
318.0,49.0,60.0,17.4,16.76
287.0,61.0,60.0,17.4,16.76
285.0,62.0,60.0,17.4,16.76
275.0,66.0,60.0,17.4,16.76
275.0,66.0,60.0,17.4,16.76
310.0,52.0,60.0,17.4,16.76
291.0,60.0,60.0,17.4,16.76
316.0,50.0,60.0,17.4,16.76
316.0,50.0,60.0,17.4,16.76
291.0,60.0,60.0,17.4,16.76
289.0,60.0,60.0,17.4,16.76
274.0,66.0,60.0,17.4,16.76
274.0,66.0,60.0,17.4,16.76
307.0,53.0,60.0,17.4,16.76
307.0,53.0,60.0,17.4,16.76
316.0,50.0,60.0,17.4,16.76
317.0,50.0,60.0,17.4,16.76
281.0,64.0,60.0,17.4,16.76
280.0,64.0,60.0,17.4,16.76
277.0,65.0,60.0,17.4,16.76
279.0,64.0,60.0,17.4,16.76
313.0,51.0,60.0,17.4,16.76
305.0,54.0,60.0,17.4,16.76
313.0,51.0,60.0,17.4,16.76
314.0,51.0,60.0,17.4,16.76
303.0,55.0,60.0,17.4,16.76
298.0,57.0,60.0,17.4,16.76
275.0,66.0,60.0,17.4,16.76
274.0,66.0,60.0,17.4,16.76
292.0,59.0,60.0,17.3,16.65
296.0,58.0,60.0,17.3,16.65
316.0,50.0,60.0,17.3,16.65
317.0,50.0,60.0,17.3,16.65
286.0,62.0,60.0,17.2,16.54
285.0,62.0,60.0,17.2,16.54
274.0,66.0,60.0,17.2,16.54
275.0,66.0,60.0,17.2,16.54
310.0,52.0,60.0,17.1,16.43
294.0,58.0,60.0,17.1,16.43
316.0,50.0,60.0,17.1,16.43
316.0,50.0,60.0,17.1,16.43
286.0,62.0,60.0,17.1,16.43
284.0,62.0,60.0,17.1,16.43
274.0,66.0,60.0,17.0,16.32
274.0,66.0,60.0,17.0,16.32
309.0,53.0,60.0,17.0,16.32
310.0,52.0,60.0,17.0,16.32
315.0,50.0,60.0,17.0,16.32
313.0,51.0,60.0,17.0,16.32
278.0,65.0,60.0,17.0,16.32
277.0,65.0,60.0,17.0,16.32
284.0,62.0,60.0,17.0,16.32
288.0,61.0,60.0,17.0,16.32
314.0,51.0,60.0,17.0,16.32
286.0,62.0,60.0,17.0,16.32
314.0,51.0,60.0,17.0,16.32
314.0,51.0,60.0,17.0,16.32
297.0,57.0,60.0,17.0,16.32
292.0,59.0,60.0,17.0,16.32
274.0,66.0,60.0,17.0,16.32
274.0,66.0,60.0,17.0,16.32
306.0,54.0,60.0,17.0,16.32
307.0,53.0,60.0,17.0,16.32
317.0,50.0,60.0,17.0,16.32
316.0,50.0,60.0,17.0,16.32
282.0,63.0,60.0,17.0,16.32
281.0,64.0,60.0,17.0,16.32
276.0,66.0,60.0,17.0,16.32
277.0,65.0,60.0,17.0,16.32
312.0,51.0,60.0,17.0,16.32
299.0,57.0,60.0,17.0,16.32
316.0,50.0,60.0,17.0,16.32
317.0,50.0,60.0,17.0,16.32
287.0,61.0,60.0,17.0,16.32
286.0,62.0,60.0,17.0,16.32
274.0,66.0,60.0,17.0,16.32
274.0,66.0,60.0,17.0,16.32
306.0,54.0,60.0,17.0,16.32
306.0,54.0,60.0,17.0,16.32
316.0,50.0,60.0,17.0,16.32
317.0,50.0,60.0,17.0,16.32
288.0,61.0,60.0,17.0,16.32
289.0,60.0,60.0,17.0,16.32
275.0,66.0,60.0,17.0,16.32
275.0,66.0,60.0,17.0,16.32
294.0,58.0,60.0,17.0,16.32
276.0,66.0,60.0,17.0,16.32
289.0,60.0,60.0,17.0,16.32
286.0,62.0,60.0,17.0,16.32
314.0,51.0,60.0,17.0,16.32
314.0,51.0,60.0,17.0,16.32
312.0,51.0,60.0,17.0,16.32
313.0,51.0,60.0,17.0,16.32
279.0,64.0,60.0,17.0,16.32
279.0,64.0,60.0,17.0,16.32
277.0,65.0,60.0,17.0,16.32
277.0,65.0,60.0,17.0,16.32
311.0,52.0,60.0,17.0,16.32
311.0,52.0,60.0,17.0,16.32
316.0,50.0,60.0,17.0,16.32
316.0,50.0,60.0,17.0,16.32
282.0,63.0,60.0,17.0,16.32
306.0,54.0,60.0,17.0,16.32
277.0,65.0,60.0,17.0,16.32
278.0,65.0,60.0,17.0,16.32
278.0,65.0,60.0,17.0,16.32
277.0,65.0,60.0,17.0,16.32
311.0,52.0,60.0,17.0,16.32
309.0,53.0,60.0,17.0,16.32
317.0,50.0,60.0,17.0,16.32
317.0,50.0,60.0,17.0,16.32
312.0,51.0,60.0,17.0,16.32
314.0,51.0,60.0,17.0,16.32
281.0,64.0,60.0,17.0,16.32
281.0,64.0,60.0,17.0,16.32
274.0,66.0,60.0,17.0,16.32
273.0,67.0,60.0,17.0,16.32
306.0,54.0,60.0,17.0,16.32
276.0,66.0,60.0,17.0,16.32
309.0,53.0,60.0,17.0,16.32
308.0,53.0,60.0,17.0,16.32
317.0,50.0,60.0,17.0,16.32
317.0,50.0,60.0,17.0,16.32
289.0,60.0,60.0,17.0,16.32
293.0,59.0,60.0,17.0,16.32
276.0,66.0,60.0,17.0,16.32
276.0,66.0,60.0,17.0,16.32
284.0,62.0,60.0,17.0,16.32
280.0,64.0,60.0,17.0,16.32
312.0,51.0,60.0,17.0,16.32
311.0,52.0,60.0,17.0,16.32
316.0,50.0,60.0,17.0,16.32
316.0,50.0,60.0,17.0,16.32
283.0,63.0,60.0,17.0,16.32
314.0,51.0,60.0,17.0,16.32
281.0,64.0,60.0,17.0,16.32
282.0,63.0,60.0,17.0,16.32
274.0,66.0,60.0,17.0,16.32
274.0,66.0,60.0,17.0,16.32
301.0,56.0,60.0,17.0,16.32
297.0,57.0,60.0,17.0,16.32
315.0,50.0,60.0,17.0,16.32
308.0,53.0,60.0,17.0,16.32
318.0,49.0,60.0,17.0,16.32
317.0,50.0,60.0,17.0,16.32
293.0,59.0,60.0,17.0,16.32
296.0,58.0,60.0,17.0,16.32
278.0,65.0,60.0,17.0,16.32
279.0,64.0,60.0,17.0,16.32
276.0,66.0,60.0,17.0,16.32
277.0,65.0,60.0,17.0,16.32
282.0,63.0,60.0,17.0,16.32
